Дата,Средняя температура,Эффективная температура
2021-05-22,22.58263036880804,22.58263036880804
2022-03-29,14.250111861758853,14.250111861758853
2021-03-28,21.933614181422787,21.933614181422787
2021-01-03,14.587580845821067,14.587580845821067
2020-08-30,19.222137664273568,19.222137664273568
2022-07-18,21.181310176347466,21.181310176347466
2020-09-19,21.67216779297097,21.67216779297097
2022-03-21,17.918998317596934,17.918998317596934
2020-11-14,21.178619818179875,21.178619818179875
2020-02-19,5.59348178382016,5.59348178382016
2021-03-22,19.427322251420016,19.427322251420016
2020-05-22,18.714407008501766,18.714407008501766
2022-08-26,15.522922937114192,15.522922937114192
2020-12-11,41.09164801963283,41.09164801963283
2022-08-29,17.38018891735149,17.38018891735149
2020-05-13,13.03782987925398,13.03782987925398
2020-04-14,15.381146768469502,15.381146768469502
2020-01-07,15.647366253300277,15.647366253300277
2021-08-23,18.86554852569613,18.86554852569613
2021-05-11,19.44767744530799,19.44767744530799
2021-12-03,19.18435480548699,19.18435480548699
2021-04-17,14.090670729883929,14.090670729883929
2021-08-21,33.18255680401941,33.18255680401941
2021-05-17,28.164429672099505,28.164429672099505
2021-03-09,13.730000241034048,13.730000241034048
2020-04-29,21.610502173071808,21.610502173071808
2020-04-18,17.684570882283918,17.684570882283918
2021-10-09,23.463319463904327,23.463319463904327
2021-08-12,23.079251420025223,23.079251420025223
2021-01-09,19.759791065639583,19.759791065639583
2022-06-29,18.94059696317965,18.94059696317965
2021-12-19,17.92181508991155,17.92181508991155
2022-01-14,14.96752525126394,14.96752525126394
2021-05-09,17.731579841648575,17.731579841648575
2021-02-08,19.36216413470352,19.36216413470352
2020-10-01,17.042783174949914,17.042783174949914
2020-03-19,22.63896173757767,22.63896173757767
2021-12-22,33.72124753754584,33.72124753754584
2021-10-06,14.367973978031793,14.367973978031793
2021-09-06,11.38932804182094,11.38932804182094
2022-05-22,18.984968639810685,18.984968639810685
2021-11-22,20.642561284927655,20.642561284927655
2020-03-31,16.86377561540876,16.86377561540876
2020-04-11,20.090105365542637,20.090105365542637
2020-04-04,25.964086795274042,25.964086795274042
2021-07-31,13.456494757872001,13.456494757872001
2021-06-21,16.827290681288307,16.827290681288307
2020-02-11,25.241615116609267,25.241615116609267
2021-03-29,20.857323433706387,20.857323433706387
2022-09-22,23.378766883878203,23.378766883878203
2021-12-14,9.748355193381935,9.748355193381935
2020-02-04,24.00063500005253,24.00063500005253
2021-10-01,16.632702009096413,16.632702009096413
2020-02-05,18.092518850104376,18.092518850104376
2020-05-28,17.391861439158895,17.391861439158895
2021-03-31,17.29679923367304,17.29679923367304
2022-06-04,23.85633009990198,23.85633009990198
2021-11-08,17.406623706923046,17.406623706923046
2021-05-01,9.302708976778495,9.302708976778495
2021-11-16,25.12843648013195,25.12843648013195
2020-11-03,14.781678404414802,14.781678404414802
2020-08-26,22.97609949276073,22.97609949276073
2021-01-30,29.718607328954622,29.718607328954622
2022-01-04,18.971842269218563,18.971842269218563
2022-04-02,6.286355978704396,6.286355978704396
2022-03-23,16.355621778885656,16.355621778885656
2021-04-09,23.333314877025757,23.333314877025757
2022-03-27,1.9222204193396522,1.9222204193396522
2021-06-12,16.586727118150574,16.586727118150574
2020-01-18,8.497274329183877,8.497274329183877
2021-12-10,28.86003821843962,28.86003821843962
2021-01-05,21.336814003186866,21.336814003186866
2020-08-29,24.932660565131286,24.932660565131286
2022-08-22,14.446897508858708,14.446897508858708
2021-04-02,24.58243729634993,24.58243729634993
2020-03-06,13.402689255710545,13.402689255710545
2020-07-10,15.560892088540921,15.560892088540921
2022-04-18,29.587421411661694,29.587421411661694
2020-11-27,22.924772765831243,22.924772765831243
2021-09-30,21.53954018141295,21.53954018141295
2020-09-12,23.736509265231458,23.736509265231458
2022-01-12,16.368054700749838,16.368054700749838
2022-01-26,11.040677127219988,11.040677127219988
2022-01-27,13.017040213574404,13.017040213574404
2022-08-09,13.668723457477373,13.668723457477373
2022-09-19,17.582134971394343,17.582134971394343
2021-04-08,26.964858826616616,26.964858826616616
2022-04-23,26.612074854459767,26.612074854459767
2021-07-27,17.239794551790585,17.239794551790585
2021-06-11,19.75662463152379,19.75662463152379
2021-10-16,18.92955354165925,18.92955354165925
2020-07-08,13.056264074854067,13.056264074854067
2021-06-01,20.775997516136282,20.775997516136282
2022-08-14,26.519997348225147,26.519997348225147
2021-02-18,20.980395646091843,20.980395646091843
2021-11-02,26.54742749038689,26.54742749038689
2021-07-13,21.815831773264325,21.815831773264325
2021-08-16,26.79783696811117,26.79783696811117
2020-09-15,22.68671460164169,22.68671460164169
2020-06-03,24.36204729147767,24.36204729147767
2020-12-01,7.5115948596709465,7.5115948596709465
2020-01-14,20.229028924678733,20.229028924678733
2022-06-30,19.671970992600173,19.671970992600173
2020-06-05,18.716442746383308,18.716442746383308
2021-03-04,13.934947432470995,13.934947432470995
2022-04-04,16.316130888456588,16.316130888456588
2020-09-24,14.073205470072493,14.073205470072493
2021-06-22,22.44238710629572,22.44238710629572
2020-08-24,26.380970496870727,26.380970496870727
2022-08-02,21.754137005907516,21.754137005907516
2021-04-24,25.995360470385677,25.995360470385677
2022-02-24,22.856852176292232,22.856852176292232
2022-08-08,20.837950582330347,20.837950582330347
2020-02-29,24.536222679395088,24.536222679395088
2022-05-18,19.93714440127078,19.93714440127078
2020-06-24,23.172992147265973,23.172992147265973
2021-12-12,21.183956816580864,21.183956816580864
2021-03-25,25.279976454267622,25.279976454267622
2020-04-30,19.492585336376152,19.492585336376152
2022-03-05,15.24607836974358,15.24607836974358
2020-06-29,17.373680278056938,17.373680278056938
2020-11-07,16.546268500474945,16.546268500474945
2020-01-04,26.42614316458257,26.42614316458257
2020-07-13,14.09459660402471,14.09459660402471
2021-03-13,7.15983804251402,7.15983804251402
2021-11-14,24.76660285939318,24.76660285939318
2022-03-10,23.67703645345385,23.67703645345385
2022-01-16,12.571217091378852,12.571217091378852
2021-09-17,28.416754468962445,28.416754468962445
2021-11-23,32.45941635208783,32.45941635208783
2021-07-05,24.168536508441314,24.168536508441314
2020-09-05,18.905672515371975,18.905672515371975
2021-10-21,16.492164891793692,16.492164891793692
2020-01-03,18.765302924580023,18.765302924580023
2022-09-24,15.227772013792336,15.227772013792336
2022-05-10,23.66720897383908,23.66720897383908
2022-02-15,22.43861440627975,22.43861440627975
2022-05-07,21.830123588686547,21.830123588686547
2020-12-24,24.539087281780724,24.539087281780724
2022-02-08,20.739116102853355,20.739116102853355
